Category	Data
Time 	305
Number of contact points 	8
Number of motion primitives performed 	49
Estimated corners 	[[np.float64(0.7901994424070505), np.float64(0.2134541722775861), np.float64(0.0008589017702145679)], [np.float64(0.5433282055230321), np.float64(0.24690757111278572), np.float64(-0.18777417155206877)], [np.float64(0.8498123815448487), np.float64(-0.3548085383993556), np.float64(0.049223436437100476)], [np.float64(0.49707068717794883), np.float64(-0.3315325039285321), np.float64(-0.2201815049242223)]]
Estimated pose 	[[np.float64(0.6701026791632201), np.float64(-0.056494824734379015), np.float64(-0.08946833456724401)], [np.float64(0.015279330838671999), np.float64(-0.3199112467096046), np.float64(-0.051420366279951835), np.float64(0.9459277362512762)]]
Ground truth pose 	[[0.6758167288570333, -0.08117492363291624, -0.12134493750892555], [-0.00993635925078669, -0.3785155984263542, 0.013876995437515673, 0.9254375394970776]]
Ground truth corners 	[[np.float64(0.5600441181307303), np.float64(-0.38664528451403724), np.float64(-0.23172863752289327)], [np.float64(0.8024868102377153), np.float64(-0.375355000066755), np.float64(0.006376529411839887)], [np.float64(0.7915893395833362), np.float64(0.22429543724820478), np.float64(-0.010961237494957837)], [np.float64(0.5491466474763512), np.float64(0.21300515280092253), np.float64(-0.249066404429691)]]
Translational error 	0.040717016843656
Rotational error 	0.187192820700725
Chamfer distance 	0.059481578454768
Hausdorff distance 	0.0844772623910248
